RCG,Metier_level6,Selection_panel_option,Old_code,Used_by_country_in_RDB,Total_n_trips_RDB_2009t2017
NSEA,DRB_MOL_>0_0_0,,"DRB_MOL_>=0_0_0, DRB_MOL_>0_0_0, DRB_MOL_0_0_0","BEL, CHA, DEU, DNK, ENG, FRA, IRL, NIR, NLD, SCT, SWE, WLS",139600
NSEA,FPN_CAT_>0_0_0,,FPN_CAT_>0_0_0,DNK,3280
NSEA,FPN_CRU_>0_0_0,,FPN_CRU_>0_0_0,DNK,1537
NSEA,FPN_MOL_>0_0_0,,FPN_MOL_>0_0_0,DNK,2
NSEA,FPO_CRU_>0_0_0,,"FPO_CRU_>0_0_0, FPO_CRU_0_0_0, FPO_CRU_ALL_0_0","CHA, DEU, DNK, ENG, FRA, IRL, LTU, NIR, NLD, SCT, SWE, WLS",507323
NSEA,FPO_FIF_>0_0_0,,"FPO_FIF_>0_0_0, FPO_FIF_0_0_0, FPO_DEF_>0_0_0, FPO_MCD_0_0_0","BEL, ENG, FRA, SCT, SWE, WLS",8749
NSEA,FPO_MOL_>0_0_0,,"FPO_MOL_>0_0_0, FPO_MOL_0_0_0","CHA, DNK, ENG, FRA, NIR, SCT, SWE, WLS",78567
NSEA,FYK_CAT_>0_0_0,,FYK_CAT_>0_0_0,"DNK, ENG, NLD, SWE",19776
NSEA,FYK_DEF_>0_0_0,,FYK_DEF_>0_0_0,ENG ,49
NSEA,GND_DEF_>0_0_0,,"GND_DEF_0_0_0, GND_DEF_<10_0_0","ENG, FRA",3
NSEA,GND_DEF_10-30_0_0,,GND_DEF_10-30_0_0,"ENG, NIR, NLD",8
NSEA,GND_DEF_31-49_0_0,,GND_DEF_31-49_0_0,ENG,14
NSEA,GND_DEF_50-70_0_0,,GND_DEF_50-70_0_0,ENG,646
NSEA,GND_DEF_71-89_0_0,,"GND_DEF_71-89_0_0, GND_DEF_80-99_0_0","ENG, FRA",19
NSEA,GND_DEF_90-99_0_0,,GND_DEF_90-99_0_0,"ENG, FRA, NIR",1469
NSEA,GND_DEF_100-119_0_0,,"GND_DEF_100-119_0_0, GND_DEF_>=100_0_0","DNK, ENG, FRA, NLD",2277
NSEA,GND_DEF_120-219_0_0,,GND_DEF_120-219_0_0,"DNK, ENG, FRA, NIR, NLD, WLS",816
NSEA,GND_DEF_>=220_0_0,,GND_DEF_>=220_0_0,"ENG, NIR",
NSEA,GND_SPF_>0_0_0,,GND_SPF_0_0_0,FRA,1
NSEA,GND_SPF_10-30_0_0,,GND_SPF_10-30_0_0,"ENG, FRA ",52
NSEA,GND_SPF_31-49_0_0,,GND_SPF_31-49_0_0,ENG,12
NSEA,GND_SPF_50-70_0_0,,GND_SPF_50-70_0_0,"DNK, ENG, FRA",2663
NSEA,GND_SPF_71-89_0_0,,GND_SPF_71-89_0_0,ENG,29
NSEA,GND_SPF_90-99_0_0,,GND_SPF_90-99_0_0,"ENG, FRA",836
NSEA,GND_SPF_100-119_0_0,,"GND_SPF_100-119_0_0, GND_SPF_>=100_0_0",ENG,974
NSEA,GND_SPF_120-219_0_0,,GND_SPF_120-219_0_0,"ENG, FRA",355
NSEA,GND_SPF_>=220_0_0,,GND_SPF_>=220_0_0,ENG,8
NSEA,GNS_CRU_>0_0_0,,"GNS_CRU_>0_0_0, GNS_CRU_0_0_0, GNS_CRU_<10_0_0","DEU, DNK, ENG, SCT, SWE, WLS",20188
NSEA,GNS_CRU_10-30_0_0,,GNS_CRU_10-30_0_0,ENG,2
NSEA,GNS_CRU_31-49_0_0,,GNS_CRU_31-49_0_0,ENG,1
NSEA,GNS_CRU_50-70_0_0,,GNS_CRU_50-70_0_0,"ENG, FRA",18
NSEA,GNS_CRU_71-89_0_0,,GNS_CRU_71-89_0_0,"DEU, ENG, FRA",81
NSEA,GNS_CRU_90-99_0_0,,"GNS_CRU_80-99_0_0, GNS_CRU_90-99_0_0","ENG, SWE",93
NSEA,GNS_CRU_100-119_0_0,,GNS_CRU_100-119_0_0,"DEU, ENG, FRA, SWE",3338
NSEA,GNS_CRU_120-219_0_0,,GNS_CRU_120-219_0_0,"ENG, FRA, SCT, SWE",1638
NSEA,GNS_CRU_>=220_0_0,,GNS_CRU_>=220_0_0,"DEU, ENG, SWE",44
NSEA,GNS_DEF_10-30_0_0,,GNS_DEF_10-30_0_0,"ENG, NLD",106
NSEA,GNS_DEF_31-49_0_0,,GNS_DEF_31-49_0_0,ENG,1
NSEA,GNS_DEF_50-70_0_0,,GNS_DEF_50-70_0_0,"ENG, FRA, NLD, SWE",211
NSEA,GNS_DEF_71-89_0_0,,"GNS_DEF_71-89_0_0, GNS_DEF_80-99_0_0","ENG, FRA, SCT, WLS",882
NSEA,GNS_DEF_90-99_0_0,,GNS_DEF_90-99_0_0,"BEL, DEU, DNK, ENG, FRA, NLD, SCT, SWE",15801
NSEA,GNS_DEF_100-119_0_0,,"GNS_DEF_100-119_0_0, GNS_DEF_110-156_0_0, GNS_DEF_>=100_0_0","BEL, CHA, DEU, DNK, ENG, FRA, NLD, SCT, SWE, WLS",83277
NSEA,GNS_DEF_120-219_0_0,,GNS_DEF_120-219_0_0,"BEL, CHA, DEU, DNK, ENG, FRA, NIR, NLD, SCT, SWE, WLS",138533
NSEA,GNS_DEF_>=220_0_0,,GNS_DEF_>=220_0_0,"BEL, DEU, DNK, ENG, FRA, NLD, SCT, SWE, WLS",22335
NSEA,GNS_DEF>0_0_0,,"GNS_DEF_<10_0_0, GNS_DEF_0_0_0","DEU, ENG, SCT, FRA, NLD",128
NSEA,GNS_SPF_10-30_0_0,,GNS_SPF_10-30_0_0,"DNK, ENG, SWE",3422
NSEA,GNS_SPF_31-49_0_0,,,,
NSEA,GNS_SPF_50-70_0_0,,GNS_SPF_50-70_0_0,"DNK, ENG, FRA, SWE",11283
NSEA,GNS_SPF_71-89_0_0,,GNS_SPF_71-89_0_0,ENG,12
NSEA,GNS_SPF_90-99_0_0,,"GNS_SPF_80-99_0_0, GNS_SPF_90-99_0_0","DNK, ENG, FRA",519
NSEA,GNS_SPF_100-119_0_0,,GNS_SPF_100-119_0_0,"DEU, DNK, ENG, FRA, WLS",3565
NSEA,GNS_SPF_120-219_0_0,,GNS_SPF_120-219_0_0,"DEU, DNK, ENG, FRA, SCT, SWE",1548
NSEA,GNS_SPF_>=220_0_0,,GNS_SPF_>=220_0_0,"DNK, ENG, FRA",129
NSEA,GNS_SPF_>0_0_0,,GNS_SPF_0_0_0,FRA,2
NSEA,GTR_DEF_10-30_0_0,,GTR_DEF_10-30_0_0,"ENG, NLD",5
NSEA,GTR_DEF_31-49_0_0,,GTR_DEF_31-49_0_0,ENG,5
NSEA,GTR_DEF_50-70_0_0,,GTR_DEF_50-70_0_0,"ENG, FRA, SWE",3203
NSEA,GTR_DEF_71-89_0_0,,"GTR_DEF_71-89_0_0, GTR_DEF_80-99_0_0","ENG, FRA",13105
NSEA,GTR_DEF_90-99_0_0,,GTR_DEF_90-99_0_0,"BEL, ENG, FRA, NLD, SWE, WLS",66848
NSEA,GTR_DEF_100-119_0_0,,"GTR_DEF_100-119_0_0, GTR_DEF_>=100_0_0","DEU, ENG, FRA, NLD, SWE",19679
NSEA,GTR_DEF_120-219_0_0,,"GTR_DEF_120-219_0_0, GTR_DEF_>=157_0_0","ENG, FRA, NLD, SWE",32509
NSEA,GTR_DEF_>=220_0_0,,GTR_DEF_>=220_0_0,"ENG, FRA, NLD, SWE",4385
NSEA,GTR_DEF_>0_0_0,,"GTR_DEF_<10_0_0, GTR_DEF_0_0_0","BEL, ENG, FRA",594
NSEA,HMD_MOL_>0_0_0,,"HMD_MOL_>=0_0_0, HMD_MOL_>0_0_0","ENG, NLD, SCT",17060
NSEA,LHM_FIF_0_0_0,,LHM_FIF_0_0_0,NLD,15
NSEA,LHP_CEP_0_0_0,,LHP_CEP_0_0_0,SCT,14
NSEA,LHP_FIF_0_0_0,,"LHP_DEF_0_0_0, LHP_FIF_0_0_0","BEL, DEU, DNK, ENG, FRA, NIR, NLD, SCT, SWE",45384
NSEA,LHP_SPF_0_0_0,,LHP_SPF_0_0_0,DEU,3
NSEA,LLD_FIF_0_0_0,,,,
NSEA,LLD_LPF_0_0_0,,LLD_LPF_0_0_0,PRT,7
NSEA,LLS_FIF_0_0_0,,LLS_DEF_0_0_0,"DNK, ENG, FRA, NLD, SCT, SWE, WLS",18846
NSEA,LLS_DWS_0_0_0,,LLS_DWS_0_0_0,ENG,8
NSEA,LTL_LPF_0_0_0,,LTL_LPF_0_0_0,"FRA, SCT",2
NSEA,MIS_MIS_0_0_0,,"MIS_CRU_0_0_0, MIS_FIF_0_0_0, MIS_MIS_0_0_0, MIS_MOL_0_0_0, No_logbook6, No_Matrix6","DEU, DNK, ENG, FRA, IRL, NIR, NLD, SCT, SWE, WLS",275039
NSEA,OTB_CRU_<16_0_0,,OTB_CRU_<16_0_0,"ENG, NIR, SCT",53
NSEA,OTB_CRU_16-31_0_0,,OTB_CRU_16-31_0_0,"BEL, DEU, DNK, ENG, FRA, NLD, SCT",1984
NSEA,OTB_CRU_32-69_0_0,,"OTB_CRU_32-69_0_0, OTB_CRU_40-59_0_0","DNK, ENG, EST, FRA, LTU, SCT, SWE",12854
NSEA,OTB_CRU_32-69_2_22,,OTB_CRU_32-69_2_22,"EST, SWE",17709
NSEA,OTB_CRU_70-89_0_0,,"OTB_CRU_70-89_0_0, OTB_CRU_70-99_0_0","DEU, DNK, ENG, FRA, NIR, SCT, WLS",88341
NSEA,OTB_CRU_70-89_2_35,,OTB_CRU_70-89_2_35,"DEU, DNK, SWE",30328
NSEA,OTB_CRU_90-99_0_0,,OTB_CRU_90-119_0_0,"DEU, DNK, SWE",89641
NSEA,OTB_CRU_90-99_1_120,,OTB_CRU_90-119_1_120,SWE,1057
NSEA,OTB_CRU_90-99_1_140,,OTB_CRU_90-119_1_140,SWE,44
NSEA,OTB_CRU_90-99_1_300,,OTB_CRU_90-119_1_300,SWE,23
NSEA,OTB_CRU_100-119_0_0,,OTB_CRU_100-119_0_0,"DEU, DNK, ENG, NIR, SCT",3625
NSEA,OTB_CRU_100-119_1_120,,,,
NSEA,OTB_CRU_100-119_1_140,,,,
NSEA,OTB_CRU_100-119_1_300,,,,
NSEA,OTB_CRU_>=120_0_0,,"OTB_CRU_>=120_0_0, OTB_CRU_>=120_1_120","DEU, DNK, ENG, SCT, SWE",2587
NSEA,OTB_CRU_>0_0_0,,OTB_CRU_0_0_0,FRA,420
NSEA,OTB_DEF_<16_0_0,,OTB_DEF_<16_0_0,"DEU, DNK, ENG, FRA, LTU, NLD, SCT, SWE",9514
NSEA,OTB_DEF_16-31_0_0,,OTB_DEF_16-31_0_0,"DNK, ENG, FRA, LTU, NLD, SCT",1996
NSEA,OTB_DEF_32-69_0_0,,OTB_DEF_32-69_0_0,"DNK, ENG, FRA, NIR, NLD,SCT, SWE",3062
NSEA,OTB_DEF_70-89_0_0,,"OTB_DEF_70-89_0_0, OTB_DEF_70-99_0_0, OTB_DEF_>=70_0_0","BEL, DEU, DNK, ENG, FRA, IRL, NIR, NLD, SCT, WLS",116310
NSEA,OTB_DEF_90-99_0_0,,OTB_DEF_90-119_0_0,"DEU, DNK, NLD, SWE",36104
NSEA,OTB_DEF_90-99_1_120,,OTB_DEF_90-119_1_120,SWE,918
NSEA,OTB_DEF_90-99_1_140,,OTB_DEF_90-119_1_140,SWE,121
NSEA,OTB_DEF_90-99_1_300,,OTB_DEF_90-119_1_300,SWE,32
NSEA,OTB_DEF_100-119_0_0,,"OTB_DEF_100-119_0_0, OTB_DEF_100-129_0_0, OTB_DEF_>=105_1_120, OTB_DEF_>=110_0_0","BEL, DEU, DNK, ENG, FRA, IRL, NIR, NLD, POL, PRT, SCT, WLS",22627
NSEA,OTB_DEF_100-119_1_120,,,,
NSEA,OTB_DEF_100-119_1_140,,,,
NSEA,OTB_DEF_100-119_1_300,,,,
NSEA,OTB_DEF_>=120_0_0,,"OTB_DEF_>=120_0_0, OTB_DEF_>=120_1_120, OTB_DEF_>=130_0_0","BEL, DEU, DNK, ENG, ESP, EST, FRA, IRL, LVA, NLD, POL, PRT, SCT, SWE",94589
NSEA,OTB_DEF_>0_0_0,,OTB_DEF_0_0_0,"DEU, FRA, NLD",2698
NSEA,OTB_DWS_32-69_0_0,,,,
NSEA,OTB_DWS_70-89_0_0,,OTB_DWS_70-99_0_0,ENG,2
NSEA,OTB_DWS_90-99_0_0,OTB_DWS_90-99_1_120,OTB_DWS_90-119_0_0,DNK ,1
NSEA,OTB_DWS_100-119_0_0,OTB_DWS_100-119_1_120,"OTB_DWS_100-119_0_0, OTB_DWS_100-129_0_0","ENG, ESP, FRA",202
NSEA,OTB_DWS_>=120_0_0,,OTB_DWS_>=120_0_0,"FRA, LTU, SCT",95
NSEA,OTB_DWS_>0_0_0,,,,
NSEA,OTB_MCD_32-69_0_0,,OTB_MCD_32-69_0_0,NLD,79
NSEA,OTB_MCD_70-89_0_0,,OTB_MCD_70-99_0_0,"BEL, NLD",10767
NSEA,OTB_MCD_90-99_0_0,,OTB_MCD_90-119_0_0,SWE,1300
NSEA,OTB_MCD_90-99_1_120,,OTB_MCD_90-119_1_120,SWE,885
NSEA,OTB_MCD_90-99_1_140,,OTB_MCD_90-119_1_140,SWE,76
NSEA,OTB_MCD_90-99_1_300,,OTB_MCD_90-119_1_300,SWE,39
NSEA,OTB_MCD_100-119_0_0,,OTB_MCD_100-119_0_0,NLD,28
NSEA,OTB_MCD_100-119_1_120,,,,
NSEA,OTB_MCD_100-119_1_140,,,,
NSEA,OTB_MCD_100-119_1_300,,,,
NSEA,OTB_MCD_>=120_0_0,,OTB_MCD_>=120_0_0,"NLD, SWE",10
NSEA,OTB_MCD_>0_0_0,,,,
NSEA,OTB_MOL_<16_0_0,,OTB_MOL_<16_0_0,SCT,13
NSEA,OTB_MOL_16-31_0_0,,,,
NSEA,OTB_MOL_32-69_0_0,,OTB_MOL_32-69_0_0,"ENG, FRA, NIR, SCT",8542
NSEA,OTB_MOL_70-89_0_0,,"OTB_MOL_70-89_0_0, OTB_MOL_70-99_0_0","ENG, FRA, NIR, SCT, WLS",11242
NSEA,OTB_MOL_90-99_0_0,OTB_MOL_90-99_1_120,,,
NSEA,OTB_MOL_100-119_0_0,OTB_MOL_100-119_1_120,OTB_MOL_100-119_0_0,"ENG, FRA, SCT",646
NSEA,OTB_MOL_>=120_0_0,,OTB_MOL_>=120_0_0,"ENG, SCT",342
NSEA,OTB_MOL_>0_0_0,,,,
NSEA,OTB_SPF_<16_0_0,,OTB_SPF_<16_0_0,FRA,7
NSEA,OTB_SPF_16-31_0_0,,OTB_SPF_16-31_0_0,"DEU, DNK, ENG, FRA, IRL, SCT, SWE",1824
NSEA,OTB_SPF_32-69_0_0,,OTB_SPF_32-69_0_0,"DEU, DNK, ENG, FRA, IRL, NIR, SCT, SWE",3012
NSEA,OTB_SPF_70-89_0_0,,"OTB_SPF_70-89_0_0, OTB_SPF_70-99_0_0","DEU, DNK, ENG, FRA, SCT",4900
NSEA,OTB_SPF_90-99_0_0,OTB_SPF_90-99_1_120,OTB_SPF_90-119_0_0,DNK,16
NSEA,OTB_SPF_100-119_0_0,OTB_SPF_100-119_1_120,OTB_SPF_100-119_0_0,"ENG, FRA",68
NSEA,OTB_SPF_>=120_0_0,,OTB_SPF_>=120_0_0,"DEU, DNK, ENG, FRA, SCT",55
NSEA,OTB_SPF_>0_0_0,,OTB_SPF_0_0_0,FRA,118
NSEA,OTM_DEF_<16_0_0,,OTM_DEF_<16_0_0,"DEU, DNK, FRA, SCT",1291
NSEA,OTM_DEF_16-31_0_0,,OTM_DEF_16-31_0_0,"DEU, DNK, ENG, FRA, LTU",404
NSEA,OTM_DEF_32-69_0_0,,OTM_DEF_32-69_0_0,"DEU, DNK, ENG, FRA, SCT",684
NSEA,OTM_DEF_70-89_0_0,,"OTM_DEF_70-89_0_0, OTM_DEF_70-99_0_0","ENG, FRA",107
NSEA,OTM_DEF_90-99_0_0,OTM_DEF_90-99_1_120,OTM_DEF_90-119_0_0,"DEU, DNK ",28
NSEA,OTM_DEF_100-119_0_0,OTM_DEF_100-119_1_120,"OTM_DEF_100-119_0_0, OTM_DEF_100-129_0_0, OTM_DEF_>=105_1_120, ","DEU, DNK, ENG, ESP, FRA, LTU, LVA, POL, PRT",859
NSEA,OTM_DEF_>=120_0_0,,"OTM_DEF_>=120_0_0, OTM_DEF_>=130_0_0","DEU, DNK, ENG, LTU,  SCT",55
NSEA,OTM_DEF_>0_0_0,,OTM_DEF_0_0_0,FRA,9
NSEA,OTM_LPF_70-89_0_0,,,,
NSEA,OTM_LPF_90-99_0_0,,,,
NSEA,OTM_LPF_100-119_0_0,,,,
NSEA,OTM_LPF_>=120_0_0,,,,
NSEA,OTM_LPF_>0_0_0,,OTM_LPF_0_0_0,EST,4
NSEA,OTM_SPF_<16_0_0,,OTM_SPF_<16_0_0,"ENG, SCT",9
NSEA,OTM_SPF_16-31_0_0,,OTM_SPF_16-31_0_0,"DEU, DNK, ENG, FRA, IRL, NIR, NLD, SCT, SWE",9021
NSEA,OTM_SPF_32-69_0_0,,"OTM_SPF_32-69_0_0, OTM_SPF_40-59_0_0","DEU, DNK, ENG, FRA, IRL, LTU, NIR, NLD, SCT, SWE",17179
NSEA,OTM_SPF_70-89_0_0,,"OTM_SPF_70-89_0_0, OTM_SPF_70-99_0_0","ENG, FRA, NIR, NLD, SCT",1218
NSEA,OTM_SPF_90-99_0_0,OTM_SPF_90-99_1_120,"OTM_SPF_90-100_0_0, OTM_SPF_90-119_0_0","DNK, PRT",25
NSEA,OTM_SPF_100-119_0_0,OTM_SPF_100-119_1_120,"OTM_SPF_100-119_0_0, OTM_SPF_100-129_0_0","ENG, FRA, LTU, NLD",57
NSEA,OTM_SPF_>=120_0_0,,OTM_SPF_>=120_0_0,"NLD, SCT",52
NSEA,OTM_SPF_>0_0_0,,OTM_SPF_0_0_0,FRA; NLD,6
NSEA,OTT_CRU_<16_0_0,,OTT_CRU_<16_0_0,SCT,2
NSEA,OTT_CRU_16-31_0_0,,,"ENG, FRA, NLD, SCT",79
NSEA,OTT_CRU_32-69_0_0,,,"FRA, SCT, SWE",2206
NSEA,OTT_CRU_32-69_2_22,,,SWE,2907
NSEA,OTT_CRU_70-89_0_0,,"OTT_CRU_70-89_0_0, OTT_CRU_70-99_0_0","DEU, ENG, FRA, NIR, SCT",7008
NSEA,OTT_CRU_70-89_2_35,,OTT_CRU_70-89_2_35,SWE,17733
NSEA,OTT_CRU_90-99_0_0,,OTT_CRU_90-119_0_0,SWE,1668
NSEA,OTT_CRU_90-99_1_120,,OTT_CRU_90-119_1_120,SWE,1532
NSEA,OTT_CRU_90-99_1_140,,OTT_CRU_90-119_1_140,SWE,48
NSEA,OTT_CRU_90-99_1_300,,OTT_CRU_90-119_1_300,SWE,61
NSEA,OTT_CRU_100-119_0_0,OTT_CRU_100-119_1_120,OTT_CRU_100-119_0_0,"ENG, FRA, NIR, SCT",1353
NSEA,OTT_CRU_100-119_1_120,,,,
NSEA,OTT_CRU_100-119_1_140,,,,
NSEA,OTT_CRU_100-119_1_300,,,,
NSEA,OTT_CRU_>=120_0_0,,"OTT_CRU_>=120_0_0, OTT_CRU_>=120_1_120","ENG, NIR, SCT, SWE",69
NSEA,OTT_CRU_>0_0_0,,OTT_CRU_0_0_0,FRA,69
NSEA,OTT_DEF_<16_0_0,,OTT_DEF_<16_0_0,"ENG, SCT",2
NSEA,OTT_DEF_16-31_0_0,,OTT_DEF_16-31_0_0,NLD ,1
NSEA,OTT_DEF_32-69_0_0,,OTT_DEF_32-69_0_0,FRA,3
NSEA,OTT_DEF_70-89_0_0,,"OTT_DEF_70-89_0_0, OTT_DEF_70-99_0_0","DEU, ENG, FRA, NIR, NLD, SCT",9492
NSEA,OTT_DEF_90-99_0_0,,OTT_DEF_90-119_0_0,"NLD, SWE",1358
NSEA,OTT_DEF_90-99_1_120,,OTT_DEF_90-119_1_120,SWE,2418
NSEA,OTT_DEF_90-99_1_140,,OTT_DEF_90-119_1_140,SWE,314
NSEA,OTT_DEF_90-99_1_300,,OTT_DEF_90-119_1_300,SWE,87
NSEA,OTT_DEF_100-119_0_0,,OTT_DEF_100-119_0_0,"DEU, ENG, FRA, NIR, NLD, SCT",994
