Country,year,vessel_id,vessel_length,trip_id,haul_id,fishing_day,area,ices_rectangle,gear,gear_FR,mesh,selection,registered_target_assemblage,FAO_species,metier_level_6,measure,KG,EUR
POL,2018,AAA-1,15,POLAAA1201806100325,,10-06-2018,27.2.a,,OTB,OTB,100,,,HXC,,weight,400,2500
POL,2018,AAA-1,15,POLAAA1201806100325,,10-06-2018,27.2.a,,OTB,OTB,100,,,SHO,,weight,200,400
POL,2018,AAA-1,15,POLAAA1201806100325,,10-06-2018,27.2.a,,OTB,OTB,100,,,HER,,weight,500,475
POL,2018,AAA-1,15,POLAAA1201806100325,,10-06-2018,27.2.a,,OTB,OTB,100,,,SPR,,weight,1800,1710
POL,2018,AAA-1,15,POLAAA1201807011230,,02-07-2018,27.3.d.25,37G5,OTB,OTB,110,,,COD,,weight,500,
POL,2018,AAA-1,15,POLAAA1201807011230,,02-07-2018,27.3.d.25,37G5,OTB,OTB,110,,,FLE,,weight,300,
POL,2018,AAA-1,15,POLAAA1201807011230,,03-07-2018,27.3.d.25,37G5,OTB,OTB,110,,,PLE,,weight,100,
POL,2018,AAA-1,15,POLAAA1201807011230,,04-07-2018,27.3.d.25,37G5,OTB,OTB,110,,,PLE,,weight,100,
POL,2018,AAA-1,15,POLAAA1201811011240,,02-11-2018,27.3.d.25,37G5,GNS,GNS,110,,,COD,,weight,500,
POL,2018,AAA-1,15,POLAAA1201811011240,,02-11-2018,27.3.d.25,37G5,GNS,GNS,110,,,FLE,,weight,300,
POL,2018,AAA-1,15,POLAAA1201811011240,,03-11-2018,27.3.d.25,37G5,GNS,GNS,110,,,COD,,weight,500,
POL,2018,AAA-1,15,POLAAA1201811011240,,03-11-2018,27.3.d.25,37G5,GNS,GNS,110,,,FLE,,weight,300,
POL,2018,AAA-1,15,POLAAA1201812101800,,03-12-2018,27.3.d.25,37G5,LLS,LLS,110,,,FLE,,weight,300,
POL,2018,AAA-1,15,POLAAA1201812101800,,04-12-2018,27.3.d.25,37G5,PTB,PTB,110,,,FLE,,weight,300,
POL,2018,AAA-1,15,POLAAA1201812101800,,05-12-2018,27.3.d.25,37G5,PTB,PTB,110,,,FLE,,weight,300,
POL,2018,ZZZ-2,12.01,POLZZZ2201801250940,,25-01-2018,27.3.d.25,38G5,OTB,OTB,105,1_120,,COD,,value,146,138.7
POL,2018,ZZZ-2,12.01,POLZZZ2201801250940,,25-01-2018,27.3.d.25,38G5,OTB,OTB,105,1_120,,FLE,,weight,1500,1425
POL,2018,ZZZ-2,12.01,POLZZZ2201801250940,,25-01-2018,27.3.d.25,38G5,OTB,OTB,105,1_120,,PLE,,weight,50,47.5
POL,2018,BBB-3,11.99,POLBB3123456,,21-06-2018,27.3.d.24,37G4,GNS,GNS,220,,,COD,,value,146.25,138.9375
POL,2018,BBB-3,11.99,POLBB3123456,,21-06-2018,27.3.d.24,37G4,GNS,GNS,220,,,FLE,,weight,25,23.75
POL,2018,BBB-3,11.99,POLBB3123456,,21-06-2018,27.3.d.24,37G4,GNS,GNS,220,,,PLE,,weight,25,23.75
POL,2018,BBB-3,11.99,POLBB3123456,,21-06-2018,27.3.d.24,37G4,GNS,GNS,220,,,TUR,,weight,200,190
POL,2020,DDD-4,28.5,POLDD9898,,14-04-2020,27.3.d.26,39G9,GNS,GNS,110,,FWS,FLE,,weight,50,100
POL,2020,DDD-4,28.5,POLDD9898,,14-04-2020,27.3.d.26,39G9,GNS,GNS,110,,FWS,COD,,weight,100,200
POL,2020,DDD-4,28.5,POLDD9898,,14-04-2020,27.3.d.26,39G9,GNS,GNS,110,,FWS,FPE,,weight,50,100
POL,2020,DDD-4,28.5,POLDD9898,,15-04-2020,27.3.d.26,39G9,GNS,GNS,110,,DEF,FLE,,weight,200,400
POL,2020,DDD-4,28.5,POLDD9898,,15-04-2020,27.3.d.26,39G9,GNS,GNS,110,,DEF,COD,,weight,80,160
POL,2020,DDD-4,28.5,POLDD9898,,15-04-2020,27.3.d.26,39G9,GN,GNS,1,,DEF,FPE,,weight,300,500
POL,2010,ZZZ-2,12.01,POLZZZ2201001250940,,17-03-2010,27.3.d.25,38G5,OTB,OTB,120,,,COD,,value,50,
POL,2010,ZZZ-2,12.01,POLZZZ2201001250940,,17-03-2010,27.3.d.25,38G5,OTB,OTB,120,,,FLE,,weight,60,
POL,2010,ZZZ-2,12.01,POLZZZ2201001250940,,17-03-2010,27.3.d.25,38G5,OTB,OTB,120,,,PLE,,weight,70,
POL,2017,GDY-555,40,POLGDY555201701011230,,02-01-2017,87.3.3,,OTM,OTM,50,,,CJM,,weight,10000,
POL,2017,GDY-555,40,POLGDY555201701011230,,02-01-2017,87.3.3,,OTM,OTM,50,,,MAS,,weight,8000,
POL,2020,DDD-4,28.5,POLDD9898,,28-04-2020,27.3.d.26,39G9,OTB,OTB,115,,,FLE,,weight,40,120
POL,2020,DDD-4,28.5,POLDD9898,,29-04-2020,27.3.d.26,39G9,OTB,OTB,115,,,FLE,,weight,80,240
POL,2020,DDD-4,28.5,POLDD9898,,30-04-2020,27.3.d.26,39G9,OTB,OTB,115,,,FLE,,weight,60,180
POL,2020,DDD-4,28.5,POLDD9898,,01-05-2020,27.3.d.26,39G9,OTB,OTB,115,,,FLE,,weight,70,210
POL,2020,DDD-4,28.5,POLDD9898,,02-05-2020,27.3.d.26,39G9,OTB,OTB,115,,,FLE,,weight,100,300
POL,2020,DDD-4,28.5,POLDD9898,,02-05-2020,27.3.d.26,39G9,OTB,OTB,115,,,COD,,weight,20,100
POL,2020,DDD-4,28.5,POLDD9898,,08-05-2020,27.3.d.26,39G9,XYZ,OTB,115,,,YYY,,weight,20,100
POL,2020,DDD-4,28.5,POLDD1000,,30-04-2020,27.3.d.26,39G9,GNS,GNS,1,,,FPE,,weight,300,500
POL,2020,DDD-4,28.5,POLDD1001,,30-06-2020,27.3.d.24,36G4,LLD,FPO,,,,SAL,,weight,30,900
