region;sppName;latinName;RFMO;RFMO_Stock_ID;X3A_CODE;FIDES_AREA;area;areaBis;TAC area description;Comments;;
North-East Atlantic;Velvet belly;Etmopterus spinax;ICES;;ETX;No TAC;6, 7, 8, 10;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_10;;;;
North-East Atlantic;Grey gurnard;Eutrigla gurnardus;ICES;;GUG;No TAC;7e;27_7_E;;;;
North-East Atlantic;Cod;Gadus morhua;ICES;;COD;05B-F.;5b;27_5_B;Faroe zone: Vb);;;
North-East Atlantic;Cod;Gadus morhua;ICES;;COD;5BE6A;6a;27_6_A;Via,   EU and international waters of Vb east of 12W;;;
North-East Atlantic;Cod;Gadus morhua;ICES;;COD;5W6-14;6b;27_6_B;Vib,   EU and international waters of Vb west of 12 W and of XII and XIV;;;
North-East Atlantic;Cod;Gadus morhua;ICES;;COD;07A.;7a;27_7_A;ICES division VIIa - Irish Sea;;;
North-East Atlantic;Cod;Gadus morhua;ICES;;COD;7XAD34;7b, 7c, 7e-k, 8, 9, 10;27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10;VII b-c, e-k, VIII, IX and X, EC waters of CECAF 34.1.1;;;
North-East Atlantic;Cod;Gadus morhua;ICES;;COD;5W6-14;5, 14;27_5,27_14;;;;
North-East Atlantic;Tope shark;Galeorhinus galeus;ICES;;GAG;No TAC;5-10, 12;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12;;;;
North-East Atlantic;Black-mouthed dogfish;Galeus melastomus;ICES;;SHO;;6, 7;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;;;;
North-East Atlantic;Black-mouthed dogfish;Galeus melastomus;ICES;;SHO;;8, 9a;27_8,27_9_A;;;;
North-East Atlantic;Mouse catshark;Galeus murinus;ICES;;GAM;;5, 6, 7, 8, 9, 10;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10;;;;
North-East Atlantic;Witch ;Glyptocephalus cynoglossus;ICES;;WIT;No TAC;6, 7;27_6,27_7_A,27_7_B,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;;;;
North-East Atlantic;Bluntnose sixgill shark;Hexanchus griseus;ICES;;SBL;No TAC;5, 6, 7, 8, 9, 10;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10;;;;
North-East Atlantic;Bluemouth rockfish;Helicolenus dactylopterus;ICES;;BRF;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Atlantic halibut;Hippoglossus hippoglossus;ICES;;HAL;514GRN;5, 14;27_5,27_14;;;;
North-East Atlantic;Lobster;Homarus gammarus;ICES;;LBE;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Orange roughy;Hoplostethus atlanticus;ICES;;ORY;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Silver scabbardfish;Lepidopus caudatus;ICES;;SFS;XDS;9a;27_9_A;NEAFC Stock - Deep Sea Fisheries;;;
North-East Atlantic;Four-spot megrim;Lepidorhombus boscii;ICES;;LEZ,LDB;8C3411;8c, 9a;27_8_C,27_9_A;VIIIc), IX, X,  COPACE 34.1.1 (1),   international waters of XII and XIV ;;;
North-East Atlantic;Megrim;Lepidorhombus whiffiagonis;ICES;;LEZ,MEG;56-14;6;27_6;VI,  EU and international waters of Vb;;;
North-East Atlantic;Megrim;Lepidorhombus whiffiagonis;ICES;;LEZ,MEG;07.,8ABDE.;7, 8abd;27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B;;;;
North-East Atlantic;Megrim;Lepidorhombus whiffiagonis;ICES;;LEZ,MEG;8C3411;8c, 9a;27_8_C,27_9_A;;;;
North-East Atlantic;Sandy ray;Leucoraja circularis;ICES;;RJI;67AKXD;6, 7;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_7_K;;Leucoraja circularis;;
North-East Atlantic;Shagreen ray;Leucoraja fullonica;ICES;;RJF;02B.;6, 7;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;;Leucoraja fullonica;;
North-East Atlantic;Cuckoo ray;Leucoraja naevus;ICES;;RJN;67AKXD;6, 7, 8ab;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B;;;;
North-East Atlantic;Cuckoo ray;Leucoraja naevus;ICES;;RJN;89-C.;8c;27_8_C;;;;
North-East Atlantic;Cuckoo ray;Leucoraja naevus;ICES;;RJN;89-C.;9a;27_9_A;;;;
North-East Atlantic;Dab;Limanda limanda;ICES;;DAB;No TAC;7a, 7f-h;27_7_A,27_7_F,27_7_G,27_7_H;;;;
North-East Atlantic;Dab;Limanda limanda;ICES;;DAB;No TAC;7e;27_7_E;;;;
North-East Atlantic;Common squid;Loligo vulgaris;ICES;;SQR;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_C,27_8_D,27_8_E,27_9_A,27_9_ B,27_10,27_12,27_14;;;;
North-East Atlantic;Black-bellied angler;Lophius budegassa;ICES;;ANF,MNZ;*56-14,56-14;6;27_6;;;;
North-East Atlantic;Black-bellied angler;Lophius budegassa;ICES;;ANF,MNZ;07.,8ABDE;7, 8abd;27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D;;;;
North-East Atlantic;Black-bellied angler;Lophius budegassa;ICES;;ANF,MNZ;8C3411;8c, 9a;27_8_C,27_9_A;;;;
North-East Atlantic;Anglerfish;Lophius piscatorius;ICES;;MON,MNZ;*56-14,56-14;6;27_6;;;;
North-East Atlantic;Anglerfish;Lophius piscatorius;ICES;;MON,MNZ;*56-14,56-14;5b, 12, 14;27_5_B,27_12,27_14;;;;
North-East Atlantic;Anglerfish;Lophius piscatorius;ICES;;MON,MNZ;07.,8ABDE;7, 8abd;27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D;;;;
North-East Atlantic;Anglerfish;Lophius piscatorius;ICES;;MON,MNZ;8C3411;8c, 9a;27_8_C,27_9_A;;;;
North-East Atlantic;Roughhead grenadier;Macrourus berglax;ICES;;RHG;8X14-,514GRN;8, 9, 10, 12, 14;27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Spider crab;Maja brachydactyla;ICES;;JDV;No TAC;5, 6, 7;27_5,27_6,27_7;;;;
North-East Atlantic;Capelin;Mallotus villosus;ICES;;CAP;514GRN;14;27_14;Greenland zone: V & XIV;;;
North-East Atlantic;Haddock;Melanogrammus aeglefinus;ICES;;HAD;5BC6A.;5b, 6a;27_5_B, 27_6_A;Faroe zone: Vb);;;
North-East Atlantic;Haddock;Melanogrammus aeglefinus;ICES;;HAD;6B1214;6b, 12, 14;27_6_B,27_12,27_14;Ec and international waters of Vib),  XII and XIV;;;
North-East Atlantic;Haddock;Melanogrammus aeglefinus;ICES;;HAD;07A.;7a;27_7_A;ICES division VIIa - Irish Sea;;;
North-East Atlantic;Haddock;Melanogrammus aeglefinus;ICES;;HAD;7X7A34;7b-k, 8, 9, 10;27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10;VIIbcdefghjk, VII, IX, X, EC waters of CECAF 34.1.1;;;
North-East Atlantic;Whiting;Merlangius merlangus;ICES;;WHG;08.;8, 9, 10 ;27_8,27_9,27_10;;;;
North-East Atlantic;Whiting;Merlangius merlangus;ICES;;WHG;56-14;5b, 6, 12, 14;27_5_B,27_6,27_12,27_14;;;;
North-East Atlantic;Whiting;Merlangius merlangus;ICES;;WHG;07A.;7a;27_6_A;;;;
North-East Atlantic;Whiting;Merlangius merlangus;ICES;;WHG;7X7A-C;7b-k;27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;;;;
North-East Atlantic;Hake;Merluccius merluccius;ICES;;HKE;571214;5b, 6, 7, 12, 14;27_5_B,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_12,27_14;VIIIabde, Vb (1), Vi, VII, XII, XIV;;;
North-East Atlantic;Hake;Merluccius merluccius;ICES;;HKE;8ABDE.;8abde;27_8_A,27_8_B,27_8_D,27_8_E;;;;
North-East Atlantic;Hake;Merluccius merluccius;ICES;;HKE;8C3411;8c, 9, 10;27_8_C,27_9,27_10;VIIIc), IX, X, COPACE 34.1.1 (1), internatina waters of XII and XIV;;;
North-East Atlantic;Wedge sole;Microchirus variegatus;ICES;;MKG;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Blue whiting;Micromesistius poutassou;ICES;;WHB;1X14;1-9, 12, 14;27_1,27_2,27_3,27_4,27_5,27_6,27_7,27_8,27_9,27_12,27_14;ICES I-II, III, IV, V, VII, VIIIabde, XII and XIV (EC and international waters);;;
North-East Atlantic;Lemon sole;Microstomus kitt;ICES;;LEM;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Blue ling;Molva dypterygia;ICES;;BLI;5B67-;5b, 6, 7;27_5_B,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;EU waters of Iia, IV, Vb, VI and VII;;;
North-East Atlantic;Blue ling;Molva dypterygia;ICES;;BLI;12INT-;12 international waters;27_12;EU waters of Iia, IV, Vb, VI and VII;;;
North-East Atlantic;Spanish ling;Molva macrophthalma;ICES;;SLI;No TAC;10;27_10;;;;
North-East Atlantic;Ling;Molva molva;ICES;;LIN;05EI.;5;27_5;VI, VII, VIII, IX, X, XII, XIV (1)(2);;;
North-East Atlantic;Ling;Molva molva;ICES;;LIN;6X14.;6-14;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;VI, VII, VIII, IX, X, XII, XIV (1)(2);;;
North-East Atlantic;Striped red mullet;Mullus surmuletus;ICES;;MUR;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Starry smooth-hound;Mustelus asterias;ICES;;SDS;No TAC;6, 7, 8, 9;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_9,27_7_K,27_8,27_9;;;;
North-East Atlantic;Smooth-hound;Mustelus mustelus;ICES;;SMD;No TAC;6, 7, 8, 9;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_9,27_7_K,27_8,27_9;;;;
North-East Atlantic;Blackspotted smooth-hound;Mustelus punctulatus;ICES;;MPT;No TAC;6, 7, 8, 9;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_9,27_7_K,27_8,27_9;;;;
North-East Atlantic;Smooth-hound;Mustelus spp.;ICES;;SKH;No TAC;5-10, 12, 14;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_9,27_7_K,27_10,27_12,27_14;;;;
North-East Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP;5BC6.;5b, 6;27_5_B,27_6;Vb) (1), VI;;;
North-East Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP;07.;7;27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;VII;;;
North-East Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP;8ABDE.;8abde;27_8_A,27_8_B,27_8_D,27_8_E;VIIIabde;;;
North-East Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP;08C.;8c;27_8_C;ICES division VIIIc - Bay of Biscay - South;;;
North-East Atlantic;Norway lobster;Nephrops norvegicus;ICES;;NEP;9/3411;9;27_9;Functional Units 26 and 27 of ICES division IXa;;;
North-East Atlantic;Common octopus;Octopus vulgaris;ICES;;OCC;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D,27_8_C,27_8_E,27_9_A,27_9_B,27_10,27_12,27_14;;;;
North-East Atlantic;Sailfin roughshark;Oxynotus paradoxus;ICES;;OXN;;5, 6, 7, 8, 9, 10;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10;;;;
North-East Atlantic;Blackspot sea bream;Pagellus bogaraveo;ICES;;SBR;678-;6, 7, 8;27_6,27_7,27_8;;;;
North-East Atlantic;Blackspot sea bream;Pagellus bogaraveo;ICES;;SBR;09-;9;27_9;;;;
North-East Atlantic;Blackspot sea bream;Pagellus bogaraveo;ICES;;SBR;10-;10;27_10;;;;
North-East Atlantic;Northern shrimp;Pandalus borealis;ICES;;PRA;514GRN;5, 14;27_5,27_14;;;;
North-East Atlantic;Pandalid shrimps;Pandalus spp;ICES;;PAN;No TAC;5, 14;27_5,27_14;;;;
North-East Atlantic;Deepwater rose shrimp;Parapenaeus longirostris;ICES;;DPS;No TAC;9a;27_9_A;;;;
North-East Atlantic;Scallop;Pecten maximus;ICES;;SCE;No TAC;6, 7;27_6,27_7_E,27_7_A,27_7_B,27_7_C,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;;;;
North-East Atlantic;Greater Forkbeard;Phycis blennoides;ICES;;GFB;567-,89-,1012-;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Should we add areas 1 II-III and IV? There also other TAC codes looking redundant;;;
North-East Atlantic;Forkbeard;Phycis phycis;ICES;;FOR;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Plaice;Pleuronectes platessa;ICES;;PLE;56-14;5b, 6, 12, 14;27_5_B,27_6,27_12,27_14;;;;
North-East Atlantic;Plaice;Pleuronectes platessa;ICES;;PLE;07A.;7a;27_7_A;ICES division VIIa - Irish Sea;;;
North-East Atlantic;Plaice;Pleuronectes platessa;ICES;;PLE;7BC.;7bc;27_7_B,27_7_C;VIIbc ;;;
North-East Atlantic;Plaice;Pleuronectes platessa;ICES;;PLE;7DE.;7e;27_7_E;VIIde;;;
North-East Atlantic;Plaice;Pleuronectes platessa;ICES;;PLE;7FG.;7fg;27_7_F,27_7_G;VIIfg;;;
North-East Atlantic;Plaice;Pleuronectes platessa;ICES;;PLE;7HJK.;7h-k;27_7_H,27_7_J,27_7_K;VIIhjk;;;
North-East Atlantic;Plaice;Pleuronectes platessa;ICES;;PLE;8/3411;8, 9, 10;27_8,27_9,27_10;VIII, IX, X, COPACE 34.1.1 (1);;;
North-East Atlantic;Pollack;Pollachius pollachius;ICES;;POL;56-14;5b, 6, 12, 14;27_5_B,27_6,27_12,27_14;;;;
North-East Atlantic;Pollack;Pollachius pollachius;ICES;;POL;07.;7;27_7;;;;
North-East Atlantic;Pollack;Pollachius pollachius;ICES;;POL;8ABDE.;8abde;27_8_A,27_8_B,27_8_D,27_8_E;;;;
North-East Atlantic;Pollack;Pollachius pollachius;ICES;;POL;08C.;8c;27_8_C;;;;
North-East Atlantic;Pollack;Pollachius pollachius;ICES;;POL;9/3411;9, 10;27_9,27_10;;;;
North-East Atlantic;Saithe;Pollachius virens;ICES;;POK;56-14;5b, 6, 12, 14;27_5_B,27_6,27_12,27_14;;;;
North-East Atlantic;Saithe;Pollachius virens;ICES;;POK;7/3411;7, 8, 9, 10;27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10;VII, VIII, IX, X, COPACE 34.1.1(1);;;
North-East Atlantic;Wreckfish;Polyprion americanus;ICES;;WRF;;10;27_10;;;;
North-East Atlantic;Blonde ray;Raja brachyura;ICES;;RJH;67AKXD;4a, 6;27_4_A,27_6;;;;
North-East Atlantic;Blonde ray;Raja brachyura;ICES;;RJH;67AKXD;7a,7fg;27_7_A,27_7_F,27_7_G;;;;
North-East Atlantic;Blonde ray;Raja brachyura;ICES;;RJH;67AKXD;7e;27_7_E;;;;
North-East Atlantic;Blonde ray;Raja brachyura;ICES;;RJH;89-C.;9a;27_9_A;;;;
North-East Atlantic;Thornback ray;Raja clavata;ICES;;RJC;67AKXD;6;27_6;;;;
North-East Atlantic;Thornback ray;Raja clavata;ICES;;RJC;67AKXD;7a, 7fg;27_7_A,27_7_F,27_7_G;;;;
North-East Atlantic;Thornback ray;Raja clavata;ICES;;RJC;67AKXD;7e;27_7_E;;;;
North-East Atlantic;Thornback ray;Raja clavata;ICES;;RJC;89-C.;8;27_8;;;;
North-East Atlantic;Thornback ray;Raja clavata;ICES;;RJC;No TAC;9a;27_9_A;;;;
North-East Atlantic;Thornback ray;Raja clavata;ICES;;RJC;No TAC;10, 12;27_10,27_12;;;;
North-East Atlantic;Small-eyed ray;Raja microocellata;ICES;;RJE;07D.;7e;27_7_E;;;;
North-East Atlantic;Small-eyed ray;Raja microocellata;ICES;;RJE;7FG.;7fg;27_7_F,27_7_G;;;;
North-East Atlantic;Spotted ray;Raja montagui;ICES;;RJM;67AKXD;6, 7b, 7j;27_6,27_7_B,27_7_J;;;;
North-East Atlantic;Spotted ray;Raja montagui;ICES;;RJM;67AKXD;7a, 7e-h;27_7_A,,27_7_E,27_7_F,27_7_G,27_7_H;;;;
North-East Atlantic;Spotted ray;Raja montagui;ICES;;RJM;No TAC;8;27_8;;;;
North-East Atlantic;Spotted ray;Raja montagui;ICES;;RJM;No TAC;9a;27_9_A;;;;
North-East Atlantic;Undulate ray;Raja undulata;ICES;;RJU;No TAC;7b, 7j;27_7_B,27_7_J;;;;
North-East Atlantic;Undulate ray;Raja undulata;ICES;;RJU;07DE.;7e;27_7_E;;;;
North-East Atlantic;Undulate ray;Raja undulata;ICES;;RJU;8-C.;8ab;27_8_A,27_8_B;;;;
North-East Atlantic;Undulate ray;Raja undulata;ICES;;RJU;8-C.;8c;27_8_C;;;;
North-East Atlantic;Undulate ray;Raja undulata;ICES;;RJU;9-C.;9a;27_9_A;;;;
North-East Atlantic;Greenland halibut;Reinhardtius hippoglossoides;ICES;;GHL;5-14GL;5a, 14;27_5_A,27_14;Greenland zone: V & XIV;;;
North-East Atlantic;Greenland halibut;Reinhardtius hippoglossoides;ICES;;GHL;2A-C46;5b, 6;27_5_B,27_6;EU waters of IIa and VI. In VI;;;
North-East Atlantic;White skate;Raja alba;ICES;;RJA;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;Rostroraja alba;;
North-East Atlantic;Salmon;Salmo salar;ICES;;SAL;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Sea trout;Salmo trutta;ICES;;TRS;;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Sardine;Sardina pilchardus;ICES;;PIL;No TAC;8abd;27_8_A,27_8_B,27_8_D;;;;
North-East Atlantic;Sardine;Sardina pilchardus;ICES;;PIL;No TAC;8c, 9a;27_8_C,27_9_A;;;;
North-East Atlantic;Spanish mackerel;Scomber colias;ICES;;VMA;No TAC;8, 9, 10;27_8,27_9,27_10;;;;
North-East Atlantic;Mackerel;Scomber scombrus;ICES;;MAC;2CX14-;5, 6, 7, 8, 9;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9;VI, VII, VIIIabde, EC waters of Vb,  international waters of Iia, XII and XIV;;;
North-East Atlantic;Turbot;Scophthalmus maximus;ICES;;TUR;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Brill;Scophthalmus rhombus;ICES;;BLL;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Lesser-spotted dogfish;Scyliorhinus canicula;ICES;;SYC;;6, 7a-c, 7e-j;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J;;;;
North-East Atlantic;Lesser-spotted dogfish;Scyliorhinus canicula;ICES;;SYC;;8abd;27_8_A,27_8_B,27_8_D;;;;
North-East Atlantic;Lesser-spotted dogfish;Scyliorhinus canicula;ICES;;SYC;;8c, 9a;27_8_C,27_9_A;;;;
North-East Atlantic;Greater spotted dogfish;Scyliorhinus stellaris;ICES;;SYT;;6, 7;27_6,27_7;;;;
North-East Atlantic;Knifetooth dogfish;Scymnodon ringenes;ICES;;SYR;No TAC;5, 6, 7, 8, 9, 10;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10;;;;
North-East Atlantic;Beaked redfish;Sebastes mentella;ICES;;REB;No TAC;5, 12, 14 (shallow pelagic);27_5,27_12,27_14;;;;
North-East Atlantic;Beaked redfish;Sebastes mentella;ICES;;REB;No TAC;5, 12, 14 (deep pelagic);27_5,27_12,27_14;;;;
North-East Atlantic;Beaked redfish;Sebastes mentella;ICES;;REB;No TAC;5, 14 (demersal) ;27_5,27_12,27_14;;;;
North-East Atlantic;Golden Redfish;Sebastes norvegicus;ICES;;REG;XXX;5, 14;27_5,27_14;NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures;;;
North-East Atlantic;Cuttlefish;Sepia officinalis;ICES;;CTC;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Sole;Solea solea;ICES;;SOL;56-14;5b, 6, 12, 14;27_5_B,27_6,27_12,27_14;;;;
North-East Atlantic;Sole;Solea solea;ICES;;SOL;07A.;7a;27_7_A;;;;
North-East Atlantic;Sole;Solea solea;ICES;;SOL;7BC.;7bc;27_7_B,27_7_C;;;;
North-East Atlantic;Sole;Solea solea;ICES;;SOL;7E.;7e;27_7_E;;;;
North-East Atlantic;Sole;Solea solea;ICES;;SOL;7FG.;7fg;27_7_F,27_7_G;;;;
North-East Atlantic;Sole;Solea solea;ICES;;SOL;7HJK.;7hjk;27_7_H,27_7_J,27_7_K;;;;
North-East Atlantic;Sole;Solea solea;ICES;;SOL;8AB.;8ab;27_8_A,27_8_B;;;;
North-East Atlantic;Sole;Solea solea;ICES;;SOL;No TAC;8cde, 9, 10;27_8_C,27_8_D,27_8_E,27_9,27_10;;;;
North-East Atlantic;Greenland skark;Samniosus microcephalus;ICES;;GSK;;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Sea breams (in plural);Sparidae;ICES;;SBX;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
