"SpeciesAphiaID";"Species";"SpeciesDesc";"Family";"Order";"Class"
125946;"Trachurus";"Horse mackerel. WoRMS 125946";"Carangidae";"Carangiformes";"Actinopteri"
127023;"Scomber scombrus";"Atlantic mackerel";"Scombridae";"Scombriformes";"Actinopteri"
126421;"Sardina pilchardus";"European pilchard(=Sardine)";"Clupeidae";"Clupeiformes";"Actinopteri"
126422;"Sardinella aurita";"Spanish sardine";"Clupeidae";"Clupeiformes";"Actinopteri"
127022;"Scomber japonicus";"Chub mackerel";"Scombridae";"Scombriformes";"Actinopteri"
126823;"Trachurus trecae";"Cunene horse mackerel";"Carangidae";"Carangiformes";"Actinopteri"
273962;"Dentex dentex";"Common dentex";"Sparidae";"Eupercaria incertae sedis";"Actinopteri"
126426;"Engraulis encrasicolus";"European anchovy";"Engraulidae";"Clupeiformes";"Actinopteri"
127018;"Katsuwonus pelamis";"Skipjack tuna";"Scombridae";"Scombriformes";"Actinopteri"
125546;"Mugilidae";"Mullets";"Mugilidae";"Mugiliformes";"Actinopteri"
126945;"Parapristipoma octolineatum";"Parapristipoma octolineatum";"Haemulidae";"Eupercaria incertae sedis";"Actinopteri"
127021;"Sarda sarda";"Atlantic bonito";"Scombridae";"Scombriformes";"Actinopteri"
125564;"Sparidae";"porgies. WoRMS AphiaID 125564";"Sparidae";"Eupercaria incertae sedis";"Actinopteri"
125617;"Zeidae";"St. Peter fish (Zeidae)";"Zeidae";"Zeiformes";"Actinopteri"
126484;"Merluccius merluccius";"European hake";"Merlucciidae";"Gadiformes";"Actinopteri"
125721;"Sardinella";"Sardinella sp.";"Clupeidae";"Clupeiformes";"Actinopteri"
126064;"Scomberomorus";"Scomberomorus sp.";"Scombridae";"Scombriformes";"Actinopteri"
125571;"Trichiuridae";"Cutlassfishes (Trichiuridae)";"Trichiuridae";"Scombriformes";"Actinopteri"
273303;"Trachurus murphyi";"Pacific horse Mackerel";"Carangidae";"Carangiformes";"Actinopteri"
126175;"Sebastes";"Redfish. WoRMS 126175";"Sebastidae";"Perciformes";"Actinopteri"
126783;"Brama brama";"Atlantic pomfret";"Bramidae";"Scombriformes";"Actinopteri"
125700;"Beryx";"Alfonsinos. WoRMS 125700";"Berycidae";"Beryciformes";"Actinopteri"
126810;"Lichia amia";"Leerfish";"Carangidae";"Carangiformes";"Actinopteri"
151482;"Pomatomus saltatrix";"Bluefish";"Pomatomidae";"Scombriformes";"Actinopteri"
159483;"Chloroscombrus chrysurus";"Atlantic bumper";"Carangidae";"Carangiformes";"Actinopteri"
126075;"Dentex";"Dentex";"Sparidae";"Eupercaria incertae sedis";"Actinopteri"
217654;"Galeichthys feliceps";"White barbel";"Ariidae";"Siluriformes";"Actinopteri"
126822;"Trachurus trachurus";"Atlantic horse mackerel";"Carangidae";"Carangiformes";"Actinopteri"
10194;"Actinopterygii";"Bony fishes";NA;NA;NA
126485;"Merluccius senegalensis";"Merluccius senegalensis";"Merlucciidae";"Gadiformes";"Actinopteri"
273148;"Brama japonica";"Pacific pomfret";"Bramidae";"Scombriformes";"Actinopteri"
126436;"Gadus morhua";"Atlantic cod";"Gadidae";"Gadiformes";"Actinopteri"
107254;"Nephrops norvegicus";"Norway lobster";"Nephropidae";"Decapoda";"Malacostraca"
127143;"Pleuronectes platessa";"European plaice";"Pleuronectidae";"Pleuronectiformes";"Actinopteri"
127149;"Scophthalmus maximus";"Turbot. WoRMS 127149";"Scophthalmidae";"Pleuronectiformes";"Actinopteri"
127160;"Solea solea";"Common sole";"Soleidae";"Pleuronectiformes";"Actinopteri"
107276;"Cancer pagurus";"Edible crab";"Cancridae";"Decapoda";"Malacostraca"
127262;"Chelidonichthys lucerna";"Tub gurnard";"Triglidae";"Perciformes";"Actinopteri"
126975;"Dicentrarchus labrax";"European seabass";"Moronidae";"Eupercaria incertae sedis";"Actinopteri"
127138;"Hippoglossus hippoglossus";"Atlantic halibut";"Pleuronectidae";"Pleuronectiformes";"Actinopteri"
127139;"Limanda limanda";"Common dab";"Pleuronectidae";"Pleuronectiformes";"Actinopteri"
125802;"Lophius";"Anglerfish. WoRMS 125802";"Lophiidae";"Lophiiformes";"Actinopteri"
126437;"Melanogrammus aeglefinus";"Haddock";"Gadidae";"Gadiformes";"Actinopteri"
126438;"Merlangius merlangus";"Whiting";"Gadidae";"Gadiformes";"Actinopteri"
127140;"Microstomus kitt";"Lemon sole";"Pleuronectidae";"Pleuronectiformes";"Actinopteri"
126461;"Molva molva";"Ling";"Lotidae";"Gadiformes";"Actinopteri"
105883;"Raja clavata";"Thornback ray";"Rajidae";"Rajiformes";"Elasmobranchii"
105887;"Raja montagui";"Spotted ray";"Rajidae";"Rajiformes";"Elasmobranchii"
127150;"Scophthalmus rhombus";"Brill";"Scophthalmidae";"Pleuronectiformes";"Actinopteri"
271509;"Bathyraja brachyurops";"Blonde ray. WoRMS 271509";"Arhynchobatidae";"Rajiformes";"Elasmobranchii"
138878;"Buccinum undatum";"Whelk";"Buccinidae";"Neogastropoda";"Gastropoda"
127259;"Chelidonichthys cuculus";"Red gurnard. WoRMS 127259";"Triglidae";"Perciformes";"Actinopteri"
150637;"Eutrigla gurnardus";"Grey gurnard";"Triglidae";"Perciformes";"Actinopteri"
138139;"Loligo";"Common squids. WoRMS 138139";"Loliginidae";"Myopsida";"Cephalopoda"
105732;"Mustelus";"Smooth hound sharks. WoRMS 105732";"Triakidae";"Carcharhiniformes";"Elasmobranchii"
140712;"Pecten maximus";"Great scallop";"Pectinidae";"Pectinida";"Bivalvia"
11014;"Perciformes";"Perciformes";NA;"Perciformes";"Actinopteri"
127141;"Platichthys flesus";"European flounder";"Pleuronectidae";"Pleuronectiformes";"Actinopteri"
105766;"Raja";"Skates";"Rajidae";"Rajiformes";"Elasmobranchii"
367297;"Raja brachyura";"Blonde ray";"Rajidae";"Rajiformes";"Elasmobranchii"
105814;"Scyliorhinus canicula";"Small-spotted catshark";"Scyliorhinidae";"Carcharhiniformes";"Elasmobranchii"
105782;"Squalus";"Spordogs (Squalus sp.)";"Squalidae";"Squaliformes";"Elasmobranchii"
105923;"Squalus acanthias";"Spurdog";"Squalidae";"Squaliformes";"Elasmobranchii"
126445;"Trisopterus luscus";"Pouting(=Bib)";"Gadidae";"Gadiformes";"Actinopteri"
107552;"Crangon crangon";"Common shrimp";"Crangonidae";"Decapoda";"Malacostraca"
126440;"Pollachius pollachius";"Pollack";"Gadidae";"Gadiformes";"Actinopteri"
141444;"Sepia officinalis";"European Common Cuttlefish";"Sepiidae";"Sepiida";"Cephalopoda"
126425;"Sprattus sprattus";"European sprat";"Clupeidae";"Clupeiformes";"Actinopteri"
140605;"Octopus vulgaris";"Common octopus";"Octopodidae";"Octopoda";"Cephalopoda"
126285;"Conger conger";"European conger";"Congridae";"Anguilliformes";"Actinopteri"
126122;"Lepidorhombus";"Megrims. WoRMS 126122";"Scophthalmidae";"Pleuronectiformes";"Actinopteri"
127146;"Lepidorhombus whiffiagonis";"Megrim";"Scophthalmidae";"Pleuronectiformes";"Actinopteri"
105876;"Leucoraja naevus";"Cuckoo ray";"Rajidae";"Rajiformes";"Elasmobranchii"
126986;"Mullus surmuletus";"Striped red mullet";"Mullidae";"Mulliformes";"Actinopteri"
107253;"Homarus gammarus";"European lobster";"Nephropidae";"Decapoda";"Malacostraca"
11782;"Octopodidae";"Octopuses";"Octopodidae";"Octopoda";"Cephalopoda"
126417;"Clupea harengus";"Atlantic herring";"Clupeidae";"Clupeiformes";"Actinopteri"
126441;"Pollachius virens";"Saithe(=Pollock)";"Gadidae";"Gadiformes";"Actinopteri"
126758;"Anarhichas lupus";"Wolf-fish";"Anarhichadidae";"Perciformes";"Actinopteri"
368408;"Selachii";"Selachii sp.";NA;NA;"Elasmobranchii"
105869;"Dipturus batis";"Common skate";"Rajidae";"Rajiformes";"Elasmobranchii"
105799;"Galeocerdo cuvier";"Tiger shark";"Carcharhinidae";"Carcharhiniformes";"Elasmobranchii"
127059;"Pagellus bogaraveo";"Blackspot(=red) seabream";"Sparidae";"Eupercaria incertae sedis";"Actinopteri"
127427;"Zeus faber";"John dory";"Zeidae";"Zeiformes";"Actinopteri"
107649;"Pandalus borealis";"Northern prawn";"Pandalidae";"Decapoda";"Malacostraca"
127144;"Reinhardtius hippoglossoides";"Greenland halibut";"Pleuronectidae";"Pleuronectiformes";"Actinopteri"
126281;"Anguilla anguilla";"European eel";"Anguillidae";"Anguilliformes";"Actinopteri"
127186;"Salmo salar";"Atlantic salmon";"Salmonidae";"Salmoniformes";"Actinopteri"
127187;"Salmo trutta";"Brown trout";"Salmonidae";"Salmoniformes";"Actinopteri"
127214;"Cyclopterus lumpus";"Lumpfish(=Lumpsucker)";"Cyclopteridae";"Perciformes";"Actinopteri"
154210;"Esox lucius";"Northern pike";"Esocidae";"Esociformes";"Actinopteri"
154324;"Leuciscus idus";"Orfe(=Ide)";"Cyprinidae";"Cypriniformes";"Actinopteri"
151353;"Perca fluviatilis";"European perch";"Percidae";"Perciformes";"Actinopteri"
151308;"Sander lucioperca";"Pike-perch";"Percidae";"Perciformes";"Actinopteri"
140480;"Mytilus edulis";"Blue mussel";"Mytilidae";"Mytilida";"Bivalvia"
127136;"Glyptocephalus cynoglossus";"Witch flounder";"Pleuronectidae";"Pleuronectiformes";"Actinopteri"
154281;"Abramis brama";"Freshwater bream";"Cyprinidae";"Cypriniformes";"Actinopteri"
154297;"Carassius carassius";"Crucian carp";"Cyprinidae";"Cypriniformes";"Actinopteri"
127180;"Coregonus lavaretus";"European whitefish";"Salmonidae";"Salmoniformes";"Actinopteri"
154333;"Rutilus rutilus";"Roach";"Cyprinidae";"Cypriniformes";"Actinopteri"
127123;"Zoarces viviparus";"Eelpout";"Zoarcidae";"Perciformes";"Actinopteri"
126983;"Mugil cephalus";"Flathead grey mullet";"Mugilidae";"Mugiliformes";"Actinopteri"
154388;"Lota lota";"Burbot";"Lotidae";"Gadiformes";"Actinopteri"
154343;"Tinca tinca";"Tench";"Cyprinidae";"Cypriniformes";"Actinopteri"
154582;"Cyprinus carpio";"European carp";"Cyprinidae";"Cypriniformes";"Actinopteri"
126375;"Belone belone";"Garfish";"Belonidae";"Beloniformes";"Actinopteri"
126444;"Trisopterus esmarkii";"Norway pout";"Gadidae";"Gadiformes";"Actinopteri"
126439;"Micromesistius poutassou";"Blue whiting";"Gadidae";"Gadiformes";"Actinopteri"
11707;"Cephalopoda";"Octopus and squids";NA;NA;"Cephalopoda"
126472;"Macrourus berglax";"Roughhead grenadier. WoRMS Aphia 126472";"Macrouridae";"Gadiformes";"Actinopteri"
127254;"Sebastes mentella";"Deep sea Redfish";"Sebastidae";"Perciformes";"Actinopteri"
125912;"Anarhichas";"Wolffish";"Anarhichadidae";"Perciformes";"Actinopteri"
106673;"Brachyura";"Short-tailed crabs";NA;"Decapoda";"Malacostraca"
126555;"Lophius piscatorius";"Anglerfish";"Lophiidae";"Lophiiformes";"Actinopteri"
126447;"Brosme brosme";"Tusk(=Cusk)";"Lotidae";"Gadiformes";"Actinopteri"
126459;"Molva dypterygia";"Blue ling";"Lotidae";"Gadiformes";"Actinopteri"
127082;"Trachinus draco";"Greater weever";"Trachinidae";"Perciformes";"Actinopteri"
125885;"Argentina";"Argentines";"Argentinidae";"Argentiniformes";"Actinopteri"
158960;"Coryphaenoides rupestris";"Roundnose grenadier";"Macrouridae";"Gadiformes";"Actinopteri"
105820;"Galeorhinus galeus";"Tope shark";"Triakidae";"Carcharhiniformes";"Elasmobranchii"
107205;"Lithodes maja";"Stone king crab";"Lithodidae";"Decapoda";"Malacostraca"
151324;"Sebastes norvegicus";"Golden redfish. WoRMS 151324";"Sebastidae";"Perciformes";"Actinopteri"
105824;"Chimaera monstrosa";"Rabbit fish";"Chimaeridae";"Chimaeriformes";"Holocephali"
127137;"Hippoglossoides platessoides";"Amer. plaice(=Long rough dab)";"Pleuronectidae";"Pleuronectiformes";"Actinopteri"
107616;"Palaemon serratus";"Common prawn";"Palaemonidae";"Decapoda";"Malacostraca"
126415;"Alosa fallax";"Twaite shad";"Clupeidae";"Clupeiformes";"Actinopteri"
124287;"Echinus esculentus";"European edible sea urchin";"Echinidae";"Camarodonta";"Echinoidea"
126736;"Osmerus eperlanus";"European smelt";"Osmeridae";"Osmeriformes";"Actinopteri"
101;"Gastropoda";"Gastropods";NA;NA;"Gastropoda"
213;"Pectinidae";"Pectinidae";"Pectinidae";"Pectinida";"Bivalvia"
125575;"Zoarcidae";"Eelpouts";"Zoarcidae";"Perciformes";"Actinopteri"
127419;"Capros aper";"Boarfish";"Caproidae";"Acanthuriformes";"Actinopteri"
125909;"Ammodytes";"Ammodytes";"Ammodytidae";"Perciformes";"Actinopteri"
105841;"Lamna nasus";"Porbeagle";"Lamnidae";"Lamniformes";"Elasmobranchii"
127185;"Oncorhynchus mykiss";"Rainbow trout";"Salmonidae";"Salmoniformes";"Actinopteri"
140658;"Ostrea edulis";"European flat oyster";"Ostreidae";"Ostreida";"Bivalvia"
125613;"Caproidae";"Boarfishes";"Caproidae";"Acanthuriformes";"Actinopteri"
125493;"Lophiidae";"Anglerfish. Monkfish";"Lophiidae";"Lophiiformes";"Actinopteri"
11676;"Pisces";"Fish. WoRMS 11676";NA;NA;NA
11734;"Loliginidae";"Loliginidae family";"Loliginidae";"Myopsida";"Cephalopoda"
107052;"Pasiphaea";"Glass shrimps. WoRMS 107052";"Pasiphaeidae";"Decapoda";"Malacostraca"
126977;"Chelon labrosus";"Thicklip grey mullet";"Mugilidae";"Mugiliformes";"Actinopteri"
126453;"Gaidropsarus ensis";"Arctic threebeard rockling";"Lotidae";"Gadiformes";"Actinopteri"
153087;"Illex illecebrosus";"Northern shortfin squid";"Ommastrephidae";"Oegopsida";"Cephalopoda"
276891;"Centroberyx affinis";"Redfish (trophical)";"Berycidae";"Beryciformes";"Actinopteri"
125541;"Labridae";"Wrasses";"Labridae";"Eupercaria incertae sedis";"Actinopteri"
126501;"Phycis blennoides";"Greater forkbeard";"Phycidae";"Gadiformes";"Actinopteri"
138267;"Eledone";"Eledone. WoRMS 138267";"Eledonidae";"Octopoda";"Cephalopoda"
154274;"Blicca bjoerkna";"White bream";"Cyprinidae";"Cypriniformes";"Actinopteri"
234033;"Carassius gibelio";"Prussian carp";"Cyprinidae";"Cypriniformes";"Actinopteri"
405451;"Gymnocephalus cernua";"Ruffe";"Percidae";"Perciformes";"Actinopteri"
283150;"Vimba vimba";"Vimba bream";"Cyprinidae";"Cypriniformes";"Actinopteri"
101172;"Lampetra fluviatilis";"River lamprey";"Petromyzontidae";"Petromyzontiformes";"Petromyzonti"
107613;"Palaemon adspersus";"Baltic prawn";"Palaemonidae";"Decapoda";"Malacostraca"
154165;"Scardinius erythrophthalmus";"Rudd";"Cyprinidae";"Cypriniformes";"Actinopteri"
126916;"Neogobius melanostomus";"Round goby";"Gobiidae";"Gobiiformes";"Actinopteri"
127178;"Coregonus albula";"Vendace";"Salmonidae";"Salmoniformes";"Actinopteri"
127026;"Thunnus alalunga";"Albacore";"Scombridae";"Scombriformes";"Actinopteri"
127066;"Spondyliosoma cantharus";"Black seabream";"Sparidae";"Eupercaria incertae sedis";"Actinopteri"
10216;"Rajiformes";"Rajiformes";NA;"Rajiformes";"Elasmobranchii"
105801;"Prionace glauca";"Blue shark";"Carcharhinidae";"Carcharhiniformes";"Elasmobranchii"
105843;"Carcharias taurus";"Sand shark. WoRMS Aphia 105843";"Odontaspididae";"Lamniformes";"Elasmobranchii"
125598;"Triglidae";"Searobins. WoRMS 125598";"Triglidae";"Perciformes";"Actinopteri"
126792;"Callionymus lyra";"Dragonet";"Callionymidae";"Callionymiformes";"Actinopteri"
107398;"Necora puber";"Necora puber";"Polybiidae";"Decapoda";"Malacostraca"
140624;"Todarodes sagittatus";"European Flying Squid";"Ommastrephidae";"Oegopsida";"Cephalopoda"
105;"Bivalvia";"Molluscs";NA;NA;"Bivalvia"
107381;"Carcinus maenas";"Green crab";"Carcinidae";"Decapoda";"Malacostraca"
107350;"Maja squinado";"European spider crab";"Majidae";"Decapoda";"Malacostraca"
106788;"Palaemonidae";"Palaemonidae";"Palaemonidae";"Decapoda";"Malacostraca"
127156;"Pegusa lascaris";"French sole";"Soleidae";"Pleuronectiformes";"Actinopteri"
105711;"Rajidae";"rays and skates. WoRMS 105711";"Rajidae";"Rajiformes";"Elasmobranchii"
233;"Solenidae";"Razor shells (Solenidae)";"Solenidae";"Adapedonta";"Bivalvia"
105716;"Squalidae";"Dogfish sharks";"Squalidae";"Squaliformes";"Elasmobranchii"
140687;"Aequipecten opercularis";"Queen scallop";"Pectinidae";"Pectinida";"Bivalvia"
105865;"Amblyraja radiata";"Thorny skate";"Rajidae";"Rajiformes";"Elasmobranchii"
138998;"Cerastoderma edule";"Common edible cockle";"Cardiidae";"Cardiida";"Bivalvia"
107059;"Palinurus";"Spiny lobsters (Palinurus sp.)";"Palinuridae";"Decapoda";"Malacostraca"
138159;"Spisula";"Spisula sp";"Mactridae";"Venerida";"Bivalvia"
105822;"Mustelus mustelus";"Smooth-hound";"Triakidae";"Carcharhiniformes";"Elasmobranchii"
106794;"Palinuridae";"Spiny lobsters (Paliniridae)";"Palinuridae";"Decapoda";"Malacostraca"
107044;"Pandalus";"Pandalus shrimps";"Pandalidae";"Decapoda";"Malacostraca"
410354;"Doryteuthis (Amerigo) pealeii";"";"Loliginidae";"Myopsida";"Cephalopoda"
127251;"Helicolenus dactylopterus";"Blackbelly rosefish";"Sebastidae";"Perciformes";"Actinopteri"
153131;"Alloteuthis subulata";"Alloteuthis subulata";"Loliginidae";"Myopsida";"Cephalopoda"
151157;"Micropogonias";"finebarbel croakers. WoRMS AphiaID 151157";"Sciaenidae";"Eupercaria incertae sedis";"Actinopteri"
140430;"Mya arenaria";"Sand gaper";"Myidae";"Myida";"Bivalvia"
11723;"Sepiidae";"Cuttlefish. WoRMS AphiaID 11723";"Sepiidae";"Sepiida";"Cephalopoda"
105872;"Dipturus oxyrinchus";"Long-nosed burton skate";"Rajidae";"Rajiformes";"Elasmobranchii"
105693;"Scyliorhinidae";"Cat sharks (Scyliorhinidae)";"Scyliorhinidae";"Carcharhiniformes";"Elasmobranchii"
127094;"Xiphias gladius";"Swordfish";"Xiphiidae";"Carangiformes";"Actinopteri"
140271;"Loligo vulgaris";"Common Squid";"Loliginidae";"Myopsida";"Cephalopoda"
125624;"Conger";"Congrid eels";"Congridae";"Anguilliformes";"Actinopteri"
107703;"Palinurus elephas";"Common spiny lobster";"Palinuridae";"Decapoda";"Malacostraca"
398319;"Zearaja nasuta";"New Zealand rough skate";"Rajidae";"Rajiformes";"Elasmobranchii"
127029;"Thunnus thynnus";"Atlantic bluefin tuna";"Scombridae";"Scombriformes";"Actinopteri"
140656;"Crassostrea gigas";"Pacific giant oyster";"Ostreidae";"Ostreida";"Bivalvia"
138135;"Littorina";"Periwinkle sp.";"Littorinidae";"Littorinimorpha";"Gastropoda"
138050;"Haliotis";"Haliotis sp.";"Haliotidae";"Lepetellida";"Gastropoda"
138298;"Ostrea";"Oysters (Ostrea sp.)";"Ostreidae";"Ostreida";"Bivalvia"
105894;"Rajella fyllae";"Round ray";"Rajidae";"Rajiformes";"Elasmobranchii"
159342;"Scomberomorus maculatus";"Spanish mackerel";"Scombridae";"Scombriformes";"Actinopteri"
126446;"Trisopterus minutus";"Poor cod";"Gadidae";"Gadiformes";"Actinopteri"
140262;"Littorina littorea";"Common periwinkle";"Littorinidae";"Littorinimorpha";"Gastropoda"
127015;"Auxis rochei";"Bullet tuna";"Scombridae";"Scombriformes";"Actinopteri"
127017;"Euthynnus alletteratus";"Little tunny";"Scombridae";"Scombriformes";"Actinopteri"
126423;"Sardinella maderensis";"Madeiran sardinella";"Clupeidae";"Clupeiformes";"Actinopteri"
126819;"Trachinotus ovatus";"Pompano";"Carangidae";"Carangiformes";"Actinopteri"
126801;"Campogramma glaycos";"Vadigo";"Carangidae";"Carangiformes";"Actinopteri"
127203;"Myoxocephalus scorpius";"Bullhead";"Cottidae";"Perciformes";"Actinopteri"
126927;"Pomatoschistus microps";"Common goby";"Gobiidae";"Gobiiformes";"Actinopteri"
126756;"Hyperoplus lanceolatus";"Great sandeel";"Ammodytidae";"Perciformes";"Actinopteri"
107451;"Eriocheir sinensis";"Chinese mitten crab";"Varunidae";"Decapoda";"Malacostraca"
126716;"Argentina sphyraena";"Argentine";"Argentinidae";"Argentiniformes";"Actinopteri"
156996;"Spisula solidissima";"Atlantic surfclam";"Mactridae";"Venerida";"Bivalvia"
712905;"Istiompax indica";"Giant black marlin";"Istiophoridae";"Carangiformes";"Actinopteri"
126846;"Coryphaena hippurus";"Coryphaena hippurus";"Coryphaenidae";"Carangiformes";"Actinopteri"
154290;"Aspius aspius";"Asp";"Cyprinidae";"Cypriniformes";"Actinopteri"
282185;"Pelecus cultratus";"Sichel";"Cyprinidae";"Cypriniformes";"Actinopteri"
154677;"Silurus glanis";"Sheatfish";"Siluridae";"Siluriformes";"Actinopteri"
125537;"Gobiidae";"true gobies";"Gobiidae";"Gobiiformes";"Actinopteri"
126752;"Ammodytes tobianus";"Small sandeel";"Ammodytidae";"Perciformes";"Actinopteri"
127085;"Aphanopus carbo";"Black scabbardfish";"Trichiuridae";"Scombriformes";"Actinopteri"
154721;"Balistes capriscus";"gray triggerfish. AphiaID 154721";"Balistidae";"Tetraodontiformes";"Actinopteri"
126394;"Beryx decadactylus";"Alfonsino";"Berycidae";"Beryciformes";"Actinopteri"
126395;"Beryx splendens";"Splendid alfonsino";"Berycidae";"Beryciformes";"Actinopteri"
126958;"Bodianus scrofa";"Bodianus scrofa";"Labridae";"Eupercaria incertae sedis";"Actinopteri"
127047;"Boops boops";"Bogue";"Sparidae";"Eupercaria incertae sedis";"Actinopteri"
127129;"Bothus podas";"Bothus podas";"Bothidae";"Pleuronectiformes";"Actinopteri"
125936;"Caranx";"Trevallies";"Carangidae";"Carangiformes";"Actinopteri"
126962;"Centrolabrus trutta";"Centrolabrus trutta";"Labridae";"Eupercaria incertae sedis";"Actinopteri"
105900;"Centrophorus lusitanicus";"Centrophorus lusitanicus";"Centrophoridae";"Squaliformes";"Elasmobranchii"
105910;"Dalatias licha";"Kitefin shark";"Dalatiidae";"Squaliformes";"Elasmobranchii"
127053;"Diplodus sargus";"White seabream. WoRMS 127053";"Sparidae";"Eupercaria incertae sedis";"Actinopteri"
126858;"Epigonus telescopus";"Black cardinal fish";"Epigonidae";"Acropomatiformes";"Actinopteri"
127036;"Epinephelus marginatus";"Epinephelus marginatus";"Serranidae";"Perciformes";"Actinopteri"
105832;"Heptranchias perlo";"Sharpnose sevengill shark. WoRMS 105832";"Hexanchidae";"Hexanchiformes";"Elasmobranchii"
126402;"Hoplostethus atlanticus";"Orange roughy";"Trachichthyidae";"Trachichthyiformes";"Actinopteri"
105839;"Isurus oxyrinchus";"Shortfin mako";"Lamnidae";"Lamniformes";"Elasmobranchii"
126965;"Labrus bergylta";"Ballan wrasse";"Labridae";"Eupercaria incertae sedis";"Actinopteri"
127088;"Lepidopus caudatus";"Silver scarbbardfish";"Trichiuridae";"Scombriformes";"Actinopteri"
126497;"Mora moro";"Common mora";"Moridae";"Gadiformes";"Actinopteri"
126303;"Muraena helena";"Mediterranean moray";"Muraenidae";"Anguilliformes";"Actinopteri"
125431;"Muraenidae";"Muraenidae";"Muraenidae";"Anguilliformes";"Actinopteri"
138196;"Murex";"Murex. WoRMS 138196";"Muricidae";"Neogastropoda";"Gastropoda"
127038;"Mycteroperca fusca";"Island grouper. WoRMS 127038";"Serranidae";"Perciformes";"Actinopteri"
127057;"Pagellus acarne";"Spanish bream";"Sparidae";"Eupercaria incertae sedis";"Actinopteri"
127063;"Pagrus pagrus";"Red porgy";"Sparidae";"Eupercaria incertae sedis";"Actinopteri"
126502;"Phycis phycis";"Lesser forkbeard";"Phycidae";"Gadiformes";"Actinopteri"
126998;"Polyprion americanus";"Wreckfish";"Polyprionidae";"Acropomatiformes";"Actinopteri"
127240;"Pontinus kuhlii";"Pontinus kuhlii";"Scorpaenidae";"Perciformes";"Actinopteri"
231749;"Ruditapes decussatus";"Ruditapes decussatus";"Veneridae";"Venerida";"Bivalvia"
126867;"Ruvettus pretiosus";"Oilfish";"Gempylidae";"Scombriformes";"Actinopteri"
127064;"Sarpa salpa";"Sarpa salpa";"Sparidae";"Eupercaria incertae sedis";"Actinopteri"
126834;"Schedophilus ovalis";"Imperial blackfish. WoRMS 126834";"Centrolophidae";"Scombriformes";"Actinopteri"
151174;"Scomber colias";"Atlantic chub mackerel";"Scombridae";"Scombriformes";"Actinopteri"
127248;"Scorpaena scrofa";"Red scorpionfish";"Scorpaenidae";"Perciformes";"Actinopteri"
107708;"Scyllarides latus";"Mediterranean slipper lobster. WoRMS 107708";"Scyllaridae";"Decapoda";"Malacostraca"
218436;"Seriola lalandi";"Seriola lalandi";"Carangidae";"Carangiformes";"Actinopteri"
127040;"Serranus atricauda";"Blacktail comber";"Serranidae";"Perciformes";"Actinopteri"
127041;"Serranus cabrilla";"Comber";"Serranidae";"Perciformes";"Actinopteri"
231441;"Sparisoma cretense";"Parrotfish. WoRMS 231441";"Scaridae";"Eupercaria incertae sedis";"Actinopteri"
