WoRMSAphiaID;Species;LatinName;EnglishName;Alpha3ID
126682;Alepocephalus bairdii;Alepocephalus bairdii;Baird's smooth-head;ALC
126751;Ammodytes marinus;Ammodytes marinus;Lesser sand-eel;QLH
126758;Anarhichas lupus;Anarhichas lupus;Wolf-fish;CAA
126281;Anguilla anguilla;Anguilla anguilla;European eel;ELE
126486;Antimora rostrata;Antimora rostrata;Blue antimora;ANT
127085;Aphanopus carbo;Aphanopus carbo;Black scabbardfish;BSF
126716;Argentina sphyraena;Argentina sphyraena;Argentine;ARY
127007;Argyrosomus regius;Argyrosomus regius;Meagre;MGR
107083;Aristeus antennatus;Aristeus antennatus;Aristeus antennatus;ARA
126375;Belone belone;Belone belone;Garfish;GAR
126395;Beryx splendens;Beryx splendens;Splendid alfonsino;BYS
126792;Callionymus lyra;Callionymus lyra;Dragonet;LYY
127419;Capros aper;Capros aper;Boarfish;BOC
127262;Chelidonichthys lucerna;Chelidonichthys lucerna;Tub gurnard;GUU
126417;Clupea harengus;Clupea harengus;Atlantic herring;HER
126285;Conger conger;Conger conger;European conger;COE
127178;Coregonus albula;Coregonus albula;Vendace;FVE
127180;Coregonus lavaretus;Coregonus lavaretus;European whitefish;PLN
158960;Coryphaenoides rupestris;Coryphaenoides rupestris;Roundnose grenadier;RNG
107552;Crangon crangon;Crangon crangon;Common shrimp;CSH
127214;Cyclopterus lumpus;Cyclopterus lumpus;Lumpfish (Lumpsucker);LUM
126975;Dicentrarchus labrax;Dicentrarchus labrax;European seabass;BSS
127154;Dicologlossa cuneata;Dicologlossa cuneata;Wedge sole;CET
126426;Engraulis encrasicolus;Engraulis encrasicolus;European anchovy;ANE
127017;Euthynnus alletteratus;Euthynnus alletteratus;Little tunny;LTA
150637;Eutrigla gurnardus;Eutrigla gurnardus;Grey gurnard;GUG
126435;Gadiculus argenteus;Gadiculus argenteus;Silvery pout;GDG
126436;Gadus morhua;Gadus morhua;Atlantic cod;COD
126505;Gasterosteus aculeatus;Gasterosteus aculeatus;Three-spined stickleback;GTA
127136;Glyptocephalus cynoglossus;Glyptocephalus cynoglossus;Witch flounder;WIT
125537;Gobiidae;Gobiidae;True gobies;GPA
126754;Gymnammodytes semisquamatus;Gymnammodytes semisquamatus;Smooth sand-eel;ZGS
127251;Helicolenus dactylopterus;Helicolenus dactylopterus;Blackbelly rosefish;BRF
127137;Hippoglossoides platessoides;Hippoglossoides platessoides;American plaice (Long rough dab);PLA
107253;Homarus gammarus;Homarus gammarus;European lobster;LBE
126756;Hyperoplus lanceolatus;Hyperoplus lanceolatus;Great sandeel;YEZ
127145;Lepidorhombus boscii;Lepidorhombus boscii;Four-spot megrim;LDB
127146;Lepidorhombus whiffiagonis;Lepidorhombus whiffiagonis;Megrim;MEG
126904;Lesueurigobius friesii;Lesueurigobius friesii;Fries's goby;GOF
158879;Limanda ferruginea;Limanda ferruginea;Rusty flounder;YEL
127139;Limanda limanda;Limanda limanda;Common dab;DAB
140271;Loligo vulgaris;Loligo vulgaris;Common Squid;SQR
126554;Lophius budegassa;Lophius budegassa;Black-bellied angler;ANK
126555;Lophius piscatorius;Lophius piscatorius;Anglerfish;MON
126472;Macrourus berglax;Macrourus berglax;Roughhead grenadier;RHG
126437;Melanogrammus aeglefinus;Melanogrammus aeglefinus;Haddock;HAD
126438;Merlangius merlangus;Merlangius merlangus;Whiting;WHG
126484;Merluccius merluccius;Merluccius merluccius;European hake;HKE
126439;Micromesistius poutassou;Micromesistius poutassou;Blue whiting;WHB
127140;Microstomus kitt;Microstomus kitt;Lemon sole;LEM
126461;Molva molva;Molva molva;Ling;LIN
127203;Myoxocephalus scorpius;Myoxocephalus scorpius;Bullhead;MXV
101170;Myxine glutinosa;Myxine glutinosa;Hagfish;MYG
126916;Neogobius melanostomus;Neogobius melanostomus;Round goby;NBU
107254;Nephrops norvegicus;Nephrops norvegicus;Norway lobster;NEP
140605;Octopus vulgaris;Octopus vulgaris;Common octopus;OCC
107649;Pandalus borealis;Pandalus borealis;Northern prawn;PRA
107109;Parapenaeus longirostris;Parapenaeus longirostris;Parapenaeus longirostris;DPS
140712;Pecten maximus;Pecten maximus;Great scallop;SCE
151353;Perca fluviatilis;Perca fluviatilis;European perch;FPE
126996;Pholis gunnellus;Pholis gunnellus;Rock gunnel;FGN
126501;Phycis blennoides;Phycis blennoides;Greater forkbeard;GFB
127141;Platichthys flesus;Platichthys flesus;European flounder;FLE
107656;Plesionika edwardsii;Plesionika edwardsii;Striped soldier shrimp;LKW
127143;Pleuronectes platessa;Pleuronectes platessa;European plaice;PLE
126440;Pollachius pollachius;Pollachius pollachius;Pollack;POL
126441;Pollachius virens;Pollachius virens;Saithe (Pollock);POK
367297;Raja brachyura;Raja brachyura;Blonde ray;RJH
105883;Raja clavata;Raja clavata;Thornback ray;RJC
105885;Raja microocellata;Raja microocellata;Small-eyed ray;RJE
105887;Raja montagui;Raja montagui;Spotted ray;RJM
127144;Reinhardtius hippoglossoides;Reinhardtius hippoglossoides;Greenland halibut;GHL
127186;Salmo salar;Salmo salar;Atlantic salmon;SAL
127187;Salmo trutta;Salmo trutta;Brown trout;TRS
151308;Sander lucioperca;Sander lucioperca;Pike-perch;FPP
126421;Sardina pilchardus;Sardina pilchardus;European pilchard;PIL
151174;Scomber colias;Scomber colias;Atlantic chub mackerel;VMA
127023;Scomber scombrus;Scomber scombrus;Atlantic mackerel;MAC
127150;Scophthalmus rhombus;Scophthalmus rhombus;Brill;BLL
105814;Scyliorhinus canicula;Scyliorhinus canicula;Small-spotted catshark;SYC
127254;Sebastes mentella;Sebastes mentella;Deep sea Redfish;REB
141444;Sepia officinalis;Sepia officinalis;European Common Cuttlefish;CTC
127160;Solea solea;Solea solea;Common sole;SOL
151523;Sparus aurata;Sparus aurata;Gilt head bream;SBG
126425;Sprattus sprattus;Sprattus sprattus;European sprat;SPR
105923;Squalus acanthias;Squalus acanthias;Spurdog;DGS
127082;Trachinus draco;Trachinus draco;Greater weever;WEG
126821;Trachurus picturatus;Trachurus picturatus;Blue jack mackerel;JAA
126822;Trachurus trachurus;Trachurus trachurus;Atlantic horse mackerel;HOM
126444;Trisopterus esmarkii;Trisopterus esmarkii;Norway pout;NOP
126445;Trisopterus luscus;Trisopterus luscus;Pouting ;BIB
126446;Trisopterus minutus;Trisopterus minutus;Poor cod;POD
105865;Amblyraja radiata;Amblyraja radiata;Thorny skate;NAN
125885;Argentina;Argentina;Argentines;NAN
150630;Echiichthys vipera;Echiichthys vipera;Lesser weever;NAN
125476;Gasterosteidae;Gasterosteidae;Sticklebacks;NAN
105876;Leucoraja naevus;Leucoraja naevus;Cuckoo ray;NAN
274100;Lycodes gracilis;Lycodes gracilis;NA;NAN
127149;Scophthalmus maximus;Scophthalmus maximus;Turbot;NAN
126175;Sebastes;Sebastes;Redfish;NAN
